PMCTS,MCTS,AB,Playouts,Language,,,,,,,
5.443614,5.830492,66.93507,1000,Julia,,,,,,,
5.432117,5.843871,87.72188,1000,Julia,,,,,,,
5.442418,5.828126,78.4208,1000,Julia,,,,,,,
5.451903,5.842566,83.00746,1000,Julia,,,,,,,
5.424379,5.849887,85.36254,1000,Julia,,,,,,,
5.441625,5.846737,81.67991,1000,Julia,,,,,,,
5.442912,5.827183,78.2199,1000,Julia,,,,,,,
5.431232,5.846811,65.34181,1000,Julia,,,,,,,
5.437295,5.832608,82.31238,1000,Julia,,,,,,,
5.42723,5.845368,94.55858,1000,Julia,,,,,,,
5.442139,5.823617,66.74631,1000,Julia,,,,,,,
5.429031,5.838894,81.36548,1000,Julia,,,,,,,
5.425953,5.848371,70.25162,1000,Julia,,,,,,,
5.441795,5.846964,100.212,1000,Julia,,,,,,,
5.453101,5.834634,91.46955,1000,Julia,,,,,,,
5.452767,5.858711,75.92841,1000,Julia,,,,,,,
5.427971,5.832104,72.54521,1000,Julia,,,,,,,
5.432151,5.830554,105.5232,1000,Julia,,,,,,,
5.450555,5.83665,67.48572,1000,Julia,,,,,,,
5.440278,5.863392,69.73691,1000,Julia,,,,,,,
5.435919,5.838375,78.97775,1000,Julia,,,,,,,
5.440192,5.852632,59.60148,1000,Julia,,,,,,,
5.454789,5.845209,58.37961,1000,Julia,,,,,,,
5.442661,5.846923,79.48173,1000,Julia,,,,,,,
5.41875,5.839332,58.40593,1000,Julia,,,,,,,
5.450488,5.837145,97.45934,1000,Julia,,,,,,,
5.431472,5.862746,88.26471,1000,Julia,,,,,,,
,,85.70236,,,,,,,,,
