PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
NA,NA,0.140150753,0.000557846,0.004852208,NA,NA,AB,1,Python
NA,NA,0.140150753,0.000557846,0.004852208,NA,NA,AB,1,Python
NA,NA,0.137832732,0.000545144,0.005087328,NA,NA,AB,1,Python
NA,NA,0.137832732,0.000545144,0.005087328,NA,NA,AB,1,Python
NA,NA,0.136230872,0.000563531,0.004941988,NA,NA,AB,1,Python
NA,NA,0.136230872,0.000563531,0.004941988,NA,NA,MC,1,Python
NA,NA,0.135799679,0.000543716,0.004852343,NA,NA,MC,1,Python
NA,NA,0.135799679,0.000543716,0.004852343,NA,NA,MC,1,Python
NA,NA,0.13805576,0.000553031,0.00487357,NA,NA,AB,1,Python
NA,NA,0.13805576,0.000553031,0.00487357,NA,NA,MC,1,Python
0.146673237,8.42E-05,0.126126392,8.36E-05,NA,PMC,NA,NA,5,Julia
0.148772725,8.44E-05,0.128768011,8.15E-05,NA,PMC,NA,NA,5,Julia
0.154400298,9.59E-05,0.161223579,9.36E-05,NA,MC,NA,NA,5,Julia
0.156575344,9.63E-05,0.160573162,9.20E-05,NA,MC,NA,NA,5,Julia
0.137634686,8.36E-05,0.114508169,8.49E-05,NA,PMC,NA,NA,5,Julia
0.139250799,8.37E-05,0.112262275,8.37E-05,NA,MC,NA,NA,5,Julia
0.096932146,8.75E-05,0.122657801,7.96E-05,NA,MC,NA,NA,5,Julia
0.096926313,8.77E-05,0.120897426,7.82E-05,NA,MC,NA,NA,5,Julia
0.12829486,8.20E-05,0.100329638,7.46E-05,NA,MC,NA,NA,5,Julia
0.129164245,8.17E-05,0.097908744,7.23E-05,NA,MC,NA,NA,5,Julia
0.173652378,9.97E-05,0.175205231,0.000104211,NA,MC,NA,NA,5,Julia
0.176097206,1.00E-04,0.173350343,0.0001025,NA,MC,NA,NA,5,Julia
0.177364876,0.000111144,0.113645162,0.000106582,NA,MC,NA,NA,5,Julia
0.179762551,0.000111587,0.11544043,0.000104413,NA,MC,NA,NA,5,Julia
0.157396366,9.63E-05,0.115020231,9.10E-05,NA,MC,NA,NA,5,Julia
0.158374812,9.65E-05,0.115547795,8.92E-05,NA,PMC,NA,NA,5,Julia
0.189912055,0.000117668,0.154527327,0.000115645,NA,MC,NA,NA,5,Julia
0.185271475,0.000111801,0.142965717,0.000108294,NA,MC,NA,NA,5,Julia
0.178409329,0.000105989,0.143929905,0.000108318,NA,MC,NA,NA,5,Julia
0.156053228,9.03E-05,0.134159063,8.49E-05,NA,MC,NA,NA,5,Julia
0.157491825,9.06E-05,0.133588217,8.31E-05,NA,MC,NA,NA,5,Julia
0.122136132,8.74E-05,0.100789581,8.68E-05,NA,MC,NA,NA,5,Julia
0.122010938,8.74E-05,0.098733505,8.49E-05,NA,MC,NA,NA,5,Julia
0.138126338,9.06E-05,0.162502944,8.89E-05,NA,MC,NA,NA,5,Julia
0.139530466,9.07E-05,0.162097843,8.69E-05,NA,MC,NA,NA,5,Julia
0.110510851,7.73E-05,0.102421616,7.91E-05,NA,MC,NA,NA,5,Julia
0.111068206,7.71E-05,0.099765769,7.77E-05,NA,MC,NA,NA,5,Julia
0.136895648,8.70E-05,0.103472326,8.23E-05,NA,MC,NA,NA,5,Julia
0.138666456,8.73E-05,0.10195416,8.01E-05,NA,MC,NA,NA,5,Julia
0.125450208,8.22E-05,0.108937685,9.17E-05,NA,MC,NA,NA,5,Julia
0.125640954,8.14E-05,0.11042449,8.78E-05,NA,PMC,NA,NA,5,Julia
0.123749379,8.80E-05,0.129245332,8.51E-05,NA,MC,NA,NA,5,Julia
0.124727173,8.81E-05,0.131689946,8.24E-05,NA,MC,NA,NA,5,Julia
0.17500689,0.000108754,0.167593665,0.000103519,NA,PMC,NA,NA,5,Julia
0.180142244,0.000110836,0.167767167,8.84E-05,NA,PMC,NA,NA,5,Julia
0.227174389,0.000127468,0.203213257,0.000122604,NA,MC,NA,NA,5,Julia
0.23179067,0.000129007,0.203619719,0.000122113,NA,MC,NA,NA,5,Julia
0.15065393,9.82E-05,0.16122003,0.000103092,NA,MC,NA,NA,5,Julia
0.151601962,9.78E-05,0.164536238,9.95E-05,NA,MC,NA,NA,5,Julia
0.103233227,6.49E-05,0.089242812,6.25E-05,NA,PMC,NA,NA,5,Julia
0.099632961,6.44E-05,0.086265371,6.05E-05,NA,PMC,NA,NA,5,Julia
0.099157645,6.38E-05,0.086545334,6.03E-05,NA,PMC,NA,NA,5,Julia
0.098761098,7.69E-05,NA,NA,0.004424712,NA,PMC,NA,5,Julia
0.097299695,7.62E-05,NA,NA,0.004582737,NA,PMC,NA,5,Julia
0.126094639,8.49E-05,NA,NA,0.002511621,NA,PMC,NA,5,Julia
0.124096429,8.22E-05,NA,NA,0.002530531,NA,PMC,NA,5,Julia
0.135245274,0.000115335,NA,NA,0.006003183,NA,PMC,NA,5,Julia
0.132810354,0.000113128,NA,NA,0.006146107,NA,PMC,NA,5,Julia
0.133237288,7.78E-05,NA,NA,0.002587368,NA,AB,NA,5,Julia
0.132851464,7.70E-05,NA,NA,0.002644045,NA,AB,NA,5,Julia
0.106650106,7.79E-05,NA,NA,0.001828621,NA,AB,NA,5,Julia
0.10670375,7.74E-05,NA,NA,0.001858192,NA,AB,NA,5,Julia
0.163806841,0.000107036,NA,NA,0.004345105,NA,AB,NA,5,Julia
0.164825286,0.000107489,NA,NA,0.004464584,NA,AB,NA,5,Julia
0.137663424,0.000110603,NA,NA,0.002881856,NA,AB,NA,5,Julia
0.136430802,0.000110281,NA,NA,0.002913364,NA,AB,NA,5,Julia
0.136216971,0.000109596,NA,NA,0.002947189,NA,AB,NA,5,Julia
0.083542733,7.61E-05,NA,NA,0.00378233,NA,AB,NA,5,Julia
0.082008345,7.57E-05,NA,NA,0.003881744,NA,AB,NA,5,Julia
